model,month,count,baseline_avg6,signal
BORREGO,2023-04,0,0.0,False
BORREGO,2023-05,0,0.0,False
BORREGO,2023-06,0,0.0,False
BORREGO,2023-07,0,0.0,False
BORREGO,2023-08,0,0.0,False
BORREGO,2023-09,0,0.0,False
BORREGO,2023-10,0,0.0,False
BORREGO,2023-11,0,0.0,False
BORREGO,2023-12,0,0.0,False
BORREGO,2024-01,0,0.0,False
BORREGO,2024-02,0,0.0,False
BORREGO,2024-03,1,0.0,False
BORREGO,2024-04,0,0.16666666666666666,False
BORREGO,2024-05,0,0.16666666666666666,False
BORREGO,2024-06,0,0.16666666666666666,False
BORREGO,2024-07,0,0.16666666666666666,False
BORREGO,2024-08,0,0.16666666666666666,False
BORREGO,2024-09,0,0.16666666666666666,False
BORREGO,2024-10,0,0.0,False
BORREGO,2024-11,2,0.0,False
BORREGO,2024-12,0,0.3333333333333333,False
BORREGO,2025-01,0,0.3333333333333333,False
BORREGO,2025-02,0,0.3333333333333333,False
BORREGO,2025-03,0,0.3333333333333333,False
BORREGO,2025-04,0,0.3333333333333333,False
BORREGO,2025-05,0,0.3333333333333333,False
BORREGO,2025-06,0,0.0,False
BORREGO,2025-07,0,0.0,False
BORREGO,2025-08,0,0.0,False
BORREGO,2025-09,0,0.0,False
BORREGO,2025-10,0,0.0,False
BORREGO,2025-11,1,0.0,False
BORREGO,2025-12,0,0.16666666666666666,False
BORREGO,2026-01,0,0.16666666666666666,False
BORREGO,2026-02,0,0.16666666666666666,False
BORREGO,2026-03,0,0.16666666666666666,False
BORREGO,2026-04,0,0.16666666666666666,False
BORREGO,2026-05,0,0.16666666666666666,False
BORREGO,2026-06,0,0.0,False
CADENZA,2022-07,1,0.16666666666666666,False
CADENZA,2022-08,2,0.3333333333333333,False
CADENZA,2022-09,0,0.6666666666666666,False
CADENZA,2022-10,2,0.6666666666666666,False
CADENZA,2022-11,0,1.0,False
CADENZA,2022-12,0,1.0,False
CADENZA,2023-01,1,0.8333333333333334,False
CADENZA,2023-02,0,0.8333333333333334,False
CADENZA,2023-03,1,0.5,False
CADENZA,2023-04,0,0.6666666666666666,False
CADENZA,2023-05,2,0.3333333333333333,False
CADENZA,2023-06,0,0.6666666666666666,False
CADENZA,2023-07,0,0.6666666666666666,False
CADENZA,2023-08,0,0.5,False
CADENZA,2023-09,0,0.5,False
CADENZA,2023-10,0,0.3333333333333333,False
CADENZA,2023-11,0,0.3333333333333333,False
CADENZA,2023-12,4,0.0,False
CADENZA,2024-01,3,0.6666666666666666,False
CADENZA,2024-02,3,1.1666666666666667,False
CADENZA,2024-03,8,1.6666666666666667,False
CADENZA,2024-04,0,3.0,False
CADENZA,2024-05,3,3.0,False
CADENZA,2024-06,0,3.5,False
CADENZA,2024-07,1,2.8333333333333335,False
CADENZA,2024-08,0,2.5,False
CADENZA,2024-09,0,2.0,False
CADENZA,2024-10,0,0.6666666666666666,False
CADENZA,2024-11,0,0.6666666666666666,False
CADENZA,2024-12,0,0.16666666666666666,False
CADENZA,2025-01,0,0.16666666666666666,False
CADENZA,2025-02,0,0.0,False
CADENZA,2025-03,1,0.0,False
CADENZA,2025-04,1,0.16666666666666666,False
CADENZA,2025-05,0,0.3333333333333333,False
CADENZA,2025-06,0,0.3333333333333333,False
CADENZA,2025-07,0,0.3333333333333333,False
CADENZA,2025-08,0,0.3333333333333333,False
CADENZA,2025-09,2,0.3333333333333333,False
CADENZA,2025-10,3,0.5,False
CADENZA,2025-11,0,0.8333333333333334,False
CADENZA,2025-12,0,0.8333333333333334,False
CADENZA,2026-01,1,0.8333333333333334,False
CADENZA,2026-02,1,1.0,False
CADENZA,2026-03,2,1.1666666666666667,False
CADENZA,2026-04,0,1.1666666666666667,False
CADENZA,2026-05,0,0.6666666666666666,False
CADENZA,2026-06,1,0.6666666666666666,False
CARNIVAL,2022-07,2,2.1666666666666665,False
CARNIVAL,2022-08,2,1.3333333333333333,False
CARNIVAL,2022-09,1,1.5,False
CARNIVAL,2022-10,3,1.1666666666666667,False
