제작자,차명,차명_정규화,모델_영문,미국판매여부,생산기간(부터),생산기간(까지),리콜개시일,리콜개시일_dt,리콜대수,리콜대수_n,sw관련,리콜사유
현대자동차,GV70 EV(JK EV),GV70 EV,GV70,True,2023-02-04,2024-12-12,2025-03-20,2025-03-20,523,523,True,"G80(RG3), GV80(JX), GV70(JK), GV70 EV(JK EV) 일부 차량에서 계기판(8인치 계기판 적용 차량) 제어기 소프트웨어 설계 오류로 인해 초기 시동 시 간헐적으로 계기판 이미지가 표출되지 않아 ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제13조, 별표 2의 각주 9’ 안전기준에 적합하지 않는 사항이 확인되어 제작결함시정을 하고자 함"
현대자동차,카운티 일렉트릭,카운티 일렉트릭,카운티 일렉트릭,False,2020-05-28,2025-03-04,2025-03-20,2025-03-20,548,548,True,일부 차량에서 구동전동기 최고출력 설정 소프트웨어 로직 오적용으로 인해 구동전동기 최고 출력에 대한 제원과 상이함.
현대자동차,아이오닉5 N(NE N),아이오닉5 N,IONIQ 5,True,2023-03-09,2024-09-25,2025-04-09,2025-04-09,668,668,False,일부 차량에서 레이싱 목적의 주행을 위한 특이모드인 양발운전모드(LFB)의 로직 설계오류로 일부 작동조건에 따라 의도치 않게 제동거리의 증가가 발생하여 안전 운행에 지장을 줄 가능성이 있는 결함
현대자동차,GV70 (JK1 PE),GV70,GV70,True,2024-12-16,2025-03-27,2025-04-24,2025-04-24,8885,8885,True,"GV70(JK1 PE), GV70 Electrified(JK1 EV PE), 아이오닉9(ME1) 일부 차량에서 에어백 제어장치(ACU) 소프트웨어 설계 오류로 차량 시동시 에어백 제어장치(ACU) 프로그램 구동 오류가 발생하여 에어백 경고등 점등과 에어백이 미전개되며 안전운행에 지장을 줄 가능성이 있는 결함"
현대자동차,GV70 Electrified (JK1 EV PE),GV70 Electrified,GV70,True,2024-12-31,2025-04-01,2025-04-24,2025-04-24,393,393,True,"GV70(JK1 PE), GV70 Electrified(JK1 EV PE), 아이오닉9(ME1) 일부 차량에서 에어백 제어장치(ACU) 소프트웨어 설계 오류로 차량 시동시 에어백 제어장치(ACU) 프로그램 구동 오류가 발생하여 에어백 경고등 점등과 에어백이 미전개되며 안전운행에 지장을 줄 가능성이 있는 결함"
현대자동차,아이오닉9(ME1),아이오닉9,IONIQ,True,2024-12-26,2025-03-11,2025-04-24,2025-04-24,956,956,True,"GV70(JK1 PE), GV70 Electrified(JK1 EV PE), 아이오닉9(ME1) 일부 차량에서 에어백 제어장치(ACU) 소프트웨어 설계 오류로 차량 시동시 에어백 제어장치(ACU) 프로그램 구동 오류가 발생하여 에어백 경고등 점등과 에어백이 미전개되며 안전운행에 지장을 줄 가능성이 있는 결함"
현대자동차,일렉시티(CY) 수소전기버스,일렉시티 수소전기버스,일렉시티 수소전기버스,False,2019-05-15,2025-03-24,2025-05-22,2025-05-22,1390,1390,False,일렉시티(CY) 수소전기버스 일부 차량에서 수소 배출구 보호마개를 통한 수분유입 및 빙결이 발생되어 수소가 배출되지 못할 시 중압 배관 연결부가 이탈되어 수소가 누출될 가능성이 있는 결함이 확인 ※ 수소 배출구 보호마개 : 수소 감압기의 토출압이 과다할 경우 수소를 배출시키는 마개
기아,셀토스 (SP2),셀토스,SELTOS,True,2024-10-21,2024-12-30,2025-05-28,2025-05-28,9636,9636,False,고압 파이프 제조 불량으로 인해 연결부 기밀성이 저하되어 연료가 누유되는 경우 차량 화재 발생 가능성
기아,스포티지 (NQ5),스포티지,SPORTAGE,True,2024-10-16,2024-12-30,2025-05-28,2025-05-28,3313,3313,False,고압 파이프 제조 불량으로 인해 연결부 기밀성이 저하되어 연료가 누유되는 경우 차량 화재 발생 가능성
현대자동차,아반떼(HD),아반떼,ELANTRA,True,2008-10-31,2009-07-30,2025-06-10,2025-06-10,1473,1473,False,아반떼(HD) 등 2차종 일부 차량에서 운전석 에어백 전개시 인플레이터의 과도한 내부 압력 증가로 인해 인플레이터 용기가 파손되어 승객이 상해를 입을 가능성이 있는 결함
현대자동차,i30(FD),i30,I30,False,2008-10-02,2009-02-13,2025-06-10,2025-06-10,1082,1082,False,아반떼(HD) 등 2차종 일부 차량에서 운전석 에어백 전개시 인플레이터의 과도한 내부 압력 증가로 인해 인플레이터 용기가 파손되어 승객이 상해를 입을 가능성이 있는 결함
현대자동차,카운티 일렉트릭(CS EV),카운티 일렉트릭,카운티 일렉트릭,False,2020-05-28,2025-06-07,2025-06-19,2025-06-19,629,629,False,카운티 일렉트릭(CS EV) 일부 차량에서 주차브레이크 하중전달용 케이블 설계 오류로 이물질 유입으로 인해 주차브레이크 하중전달용 케이블이 절손되어 경사로 주차 시 차량 밀림으로 충돌사고 발생 가능성이 있는 결함
기아,포르테 (TD),포르테,FORTE,True,2008-11-14,2012-11-16,2025-06-23,2025-06-23,19,19,False,조수석 에어백 인플레이터 용기 제조 공정 불량으로 인해 저온조건에서 에어백 전개 시 인플레이터 용기가 파열되어 탑승자에게 상해를 입힐 가능성
현대자동차,싼타페 하이브리드(MX5 HEV),싼타페 하이브리드,SANTA FE,True,2024-04-04,2024-04-04,2025-07-09,2025-07-09,2,2,False,싼타페 하이브리드(MX5 HEV) 일부 차량에서 차체 하단 와이어링(배선) 경로 설계 불량으로 인해 2열 시트를 접을 시 와이어링(배선)과 시트 회전 장치가 간섭되어 2열 사이드 에어백 오전개 및 미전개 가능성이 있는 결함 사항이 확인
현대자동차,캐스퍼 일렉트릭 (AX1 EV),캐스퍼 일렉트릭,캐스퍼 일렉트릭,False,2024-07-17,2025-03-31,2025-07-10,2025-07-10,3725,3725,True,캐스퍼 일렉트릭(AX1 EV) 일부 차량에서 조수석 하단 운전자 보조 주차 제어기(ADAS PRK ECU) 조립용 차체부 볼트가 노출되어 뒷좌석 승객이 맨발로 탑승시 상해가 발생할 가능성이 있는 결함
현대자동차,스타리아 카고 (US4),스타리아 카고,STARIA,False,2022-12-09,2025-04-21,2025-07-31,2025-07-31,2696,2696,False,"스타리아 카고(US4), 쏠라티(EU) 일부 차량에서 휠 고정용 너트 체결 작업 불량으로 주행 중 너트 풀림에 의한 휠 이탈 발생 가능성이 있는 결함 사항 확인"
현대자동차,쏠라티 (EU),쏠라티,쏠라티,False,2015-09-29,2025-04-23,2025-07-31,2025-07-31,3278,3278,False,"스타리아 카고(US4), 쏠라티(EU) 일부 차량에서 휠 고정용 너트 체결 작업 불량으로 주행 중 너트 풀림에 의한 휠 이탈 발생 가능성이 있는 결함 사항 확인"
현대자동차,팰리세이드(LX3),팰리세이드,PALISADE,True,2025-01-02,2025-07-01,2025-09-05,2025-09-05,30,30,False,"팰리세이드(LX3), 팰리세이드HEV (LX3 HEV) 일부 차량에서 휠 고정용 너트 체결 작업 불량으로 주행 중 너트 풀림에 의한 휠 이탈 발생 가능성이 있는 결함 사항 확인"
현대자동차,팰리세이드 하이브리드(LX3 HEV),팰리세이드 하이브리드,PALISADE,True,2025-04-11,2025-06-30,2025-09-05,2025-09-05,9,9,False,"팰리세이드(LX3), 팰리세이드HEV (LX3 HEV) 일부 차량에서 휠 고정용 너트 체결 작업 불량으로 주행 중 너트 풀림에 의한 휠 이탈 발생 가능성이 있는 결함 사항 확인"
현대자동차,포터II 일렉트릭(HR EV),포터II 일렉트릭,PORTER,False,2022-06-13,2024-02-27,2025-09-05,2025-09-05,14,14,True,"일부 차량에서 고전압배터리 케이스 사후관리용 부품 불량으로 인해 프로펠러 샤프트와 케이스 간의 간섭 부위가 절삭되지 않은 부품이 장착되어, 프로펠러 샤프트에 충격 피로 누적 시 파손 및 동력 전달 불가로 차량 멈춤 가능성이 있는 결함"
현대자동차,팰리세이드(LX3),팰리세이드,PALISADE,True,2024-12-24,2025-07-19,2025-09-16,2025-09-16,14943,14943,False,"일부 차량에서 전방 후드 래치 설계 미흡으로 인해 과속방지턱을 주행할 경우 전방 후드 열림 현상이 발생할 수 있으며, 전방 시야 확보가 불가하여 주행 안정성 저하 가능성이 있는 결함"
현대자동차,팰리세이드 하이브리드(LX3 HEV),팰리세이드 하이브리드,PALISADE,True,2025-03-21,2025-07-18,2025-09-16,2025-09-16,12713,12713,False,"일부 차량에서 전방 후드 래치 설계 미흡으로 인해 과속방지턱을 주행할 경우 전방 후드 열림 현상이 발생할 수 있으며, 전방 시야 확보가 불가하여 주행 안정성 저하 가능성이 있는 결함"
기아,EV3,EV3,EV3,False,2025-07-01,2025-07-09,2025-09-24,2025-09-24,102,102,False,"기아㈜에서는 EV3(SV), EV4(CT) 일부 차량에서 차량 내부 A필러(LH) 트림 테더클립 미체결로 인한 들뜸으로 커튼 에어백 전개 시 A필러(LH) 트림이 이탈되어 고객 상해 발생 가능성이 있는 결함이 확인되어 제작결함시정을 하고자 함 (결함인지일 : ‘25. 8. 29) ※ 테더클립 : 커튼에어백 전개 시 A필러 트림이 완전히 이탈되지 않고 적당히 열리면서 커튼 에어백만 전개 될 수 있도록 하는 장치"
기아,EV4,EV4,EV4,True,2025-07-01,2025-07-08,2025-09-24,2025-09-24,62,62,False,"기아㈜에서는 EV3(SV), EV4(CT) 일부 차량에서 차량 내부 A필러(LH) 트림 테더클립 미체결로 인한 들뜸으로 커튼 에어백 전개 시 A필러(LH) 트림이 이탈되어 고객 상해 발생 가능성이 있는 결함이 확인되어 제작결함시정을 하고자 함 (결함인지일 : ‘25. 8. 29) ※ 테더클립 : 커튼에어백 전개 시 A필러 트림이 완전히 이탈되지 않고 적당히 열리면서 커튼 에어백만 전개 될 수 있도록 하는 장치"
현대자동차,포터2(HR),포터2,PORTER,False,2023-11-29,2025-03-04,2025-09-25,2025-09-25,60934,60934,False,포터2(HR) LPG 엔진 일부 차량에서 장력조절장치(텐셔너) 고정볼트 체결부 형상 설계 불량으로 인해 고정볼트가 풀려 구동벨트가 이탈되는 경우 파워스티어링 펌프 작동불량에 의해 핸들 조향이 정상적으로 되지 않아 안전에 지장을 줄 가능성이 있는 결함이 확인되어 제작결함 시정을 하고자 함
기아,봉고Ⅲ (PU),봉고3,BONGO,False,2023-12-05,2025-02-05,2025-09-25,2025-09-25,33990,33990,False,봉고Ⅲ (PU) LPG 엔진 일부 차량에서 장력조절장치(텐셔너) 체결부 형상 설계 불량으로 인해 고정볼트가 풀려 구동벨트가 이탈되는 경우 파워스티어링 펌프 작동불량에 의해 핸들 조향이 정상적으로 되지 않아 안전에 지장을 줄 가능성
현대자동차,i30(FD),i30,I30,False,2011-04-01,2011-06-09,2025-09-26,2025-09-26,61,61,False,30(FD) 일부 차량에서 운전석 에어백 인플레이터의 과도한 내부 압력 증가로 인해 인플레이터 용기가 파손되어 승객이 상해를 입을 가능성이 있는 결함이 발견됨
현대자동차,파비스 (QV),파비스,파비스,False,2025-02-05,2025-08-03,2025-09-26,2025-09-26,1291,1291,True,파비스 (QV) 일부 차량에서 엔진제어장치(ECU) 소프트웨어 오적용으로 인해엔진 최고 출력이 제원과 상이하여 ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제106조(원동기 출력) 1호’ 안전기준에 적합하지 않은 결함이 발견됨
현대자동차,GV60(JW),GV60,GV60,True,2021-10-05,2024-07-01,2025-10-22,2025-10-22,10617,10617,False,현대자동차㈜에서는 GV60(JW) 일부 차량에서 앞면창유리 상단 몰딩 제조 불량으로 인해 접착력이 저하되어 주행 중 앞면창유리 상단 몰딩 본체에서 표면부가 이탈하여 사고를 초래할 가능성이 있는 결함이 발견되어 제작결함시정을 하고자 함.
현대자동차,아이오닉6(CE),아이오닉6,IONIQ 6,True,2022-08-17,2024-10-29,2025-10-24,2025-10-24,24705,24705,True,"아이오닉6(CE) 일부 차량에서 충전도어 외부 커버 설계 미흡으로 인해 체결력이 부족하여, 주행 중 부품 이탈로 인한 사고 발생 가능성이 있는 결함이 발견됨"
현대자동차,코나(OS),코나,KONA,True,2018-03-29,2020-08-27,2025-10-29,2025-10-29,2507,2507,False,"현대자동차㈜에서는 코나(OS), 투싼(TL) 디젤 1.6 엔진 장착 일부 차량에서 연료필터 설계오류(유리섬유 성분 사용)로 인해 여과지의 유리섬유 성분이 탈락되어 고압펌프로 유입되면 고압펌프의 내부 부품이 손상되어 연료분사가 정상적으로 작동되지 않아 시동이 꺼질 가능성이 있는 결함이 발견되어 (결함인지일 : ’22. 5. 10) ’22. 7. 11 부터 시정조치를 진행하였음 시정조치 이후 코나(OS), 투싼(TL) 디젤 1.6 엔진 장착 일부 차량에서 기 조치차량 및 조치 대상 외 차량에서 고압펌프 및 연료계 부품 내부 잔존 연료필터 유리섬유 등 이물로 인해 고압펌프 내부가 손상되어 연료분사가 정상적으로 작동되지 않아 주행중 시동이 꺼질 가능성이 있는 결함이 발견되어 제작결함시정을 하고자 함"
현대자동차,투싼(TL),투싼,TUCSON,True,2018-01-15,2020-09-28,2025-10-29,2025-10-29,13697,13697,False,"현대자동차㈜에서는 코나(OS), 투싼(TL) 디젤 1.6 엔진 장착 일부 차량에서 연료필터 설계오류(유리섬유 성분 사용)로 인해 여과지의 유리섬유 성분이 탈락되어 고압펌프로 유입되면 고압펌프의 내부 부품이 손상되어 연료분사가 정상적으로 작동되지 않아 시동이 꺼질 가능성이 있는 결함이 발견되어 (결함인지일 : ’22. 5. 10) ’22. 7. 11 부터 시정조치를 진행하였음 시정조치 이후 코나(OS), 투싼(TL) 디젤 1.6 엔진 장착 일부 차량에서 기 조치차량 및 조치 대상 외 차량에서 고압펌프 및 연료계 부품 내부 잔존 연료필터 유리섬유 등 이물로 인해 고압펌프 내부가 손상되어 연료분사가 정상적으로 작동되지 않아 주행중 시동이 꺼질 가능성이 있는 결함이 발견되어 제작결함시정을 하고자 함"
기아,셀토스 (SP2),셀토스,SELTOS,True,2019-07-04,2021-12-31,2025-10-29,2025-10-29,18118,18118,False,"기아㈜에서는 셀토스(SP2), 스포티지(QL) 디젤 1.6 엔진 장착 일부 차량에서 연료필터 설계오류(유리섬유 성분 사용)로 인해 여과지의 유리섬유 성분이 탈락되어 고압펌프로 유입되면 고압펌프의 내부 부품이 손상되어 연료분사가 정상적으로 작동되지 않아 시동이 꺼질 가능성이 있는 결함이 발견되어 (결함인지일 : ’22. 5. 10) ’22. 7. 11 부터 시정조치를 진행하였음 시정조치 이후 셀토스(SP2), 스포티지(QL) 디젤 1.6 엔진 장착 일부 차량에서 기 조치차량 및 조치 대상 외 차량에서 고압펌프 및 연료계 부품 내부 잔존 연료필터 유리섬유 등 이물로 인해 고압펌프 내부가 손상되어 연료분사가 정상적으로 작동되지 않아 주행중 시동이 꺼질 가능성이 있는 결함이 발견되어 제작결함시정을 하고자 함 (결함인지일 : ’25. 9. 30)"
